sample_id,cube_id,input_start_frame,input_len,target_frame,target_date,has_event,severity,split
2417,118,0,14,20,2021-01-21,False,0,train
2418,118,1,14,21,2021-01-22,False,0,train
2419,118,2,14,22,2021-01-23,False,0,train
2420,118,3,14,23,2021-01-24,False,0,train
2421,118,4,14,24,2021-01-25,False,0,train
2422,118,5,14,25,2021-01-26,False,0,train
2423,118,6,14,26,2021-01-27,False,0,train
2424,118,7,14,27,2021-01-28,False,0,train
2425,118,8,14,28,2021-01-29,False,0,train
2426,118,9,14,29,2021-01-30,False,0,train
2427,118,10,14,30,2021-01-31,False,0,train
2428,118,11,14,31,2021-02-01,False,0,train
2429,118,12,14,32,2021-02-02,False,0,train
2430,118,13,14,33,2021-02-03,False,0,train
2431,118,14,14,34,2021-02-04,False,0,train
2432,118,15,14,35,2021-02-05,False,0,train
2433,118,16,14,36,2021-02-06,False,0,train
2434,118,17,14,37,2021-02-07,False,0,train
2435,118,18,14,38,2021-02-08,False,0,train
2436,118,19,14,39,2021-02-09,False,0,train
2437,118,20,14,40,2021-02-10,False,0,train
2438,118,21,14,41,2021-02-11,False,0,train
2439,118,22,14,42,2021-02-12,False,0,train
2440,118,23,14,43,2021-02-13,False,0,train
2441,118,24,14,44,2021-02-14,False,0,train
2442,118,25,14,45,2021-02-15,False,0,train
2443,118,26,14,46,2021-02-16,False,0,train
2444,118,27,14,47,2021-02-17,False,0,train
2445,118,28,14,48,2021-02-18,False,0,train
2446,118,29,14,49,2021-02-19,False,0,train
2447,118,30,14,50,2021-02-20,False,0,train
2448,118,31,14,51,2021-02-21,False,0,train
2449,118,32,14,52,2021-02-22,False,0,train
2450,118,33,14,53,2021-02-23,False,0,train
2451,118,34,14,54,2021-02-24,False,0,train
2452,118,35,14,55,2021-02-25,False,0,train
2453,118,36,14,56,2021-02-26,False,0,train
2454,118,37,14,57,2021-02-27,False,0,train
2455,118,38,14,58,2021-02-28,False,0,train
2456,118,39,14,59,2021-03-01,False,0,train
2457,118,40,14,60,2021-03-02,False,0,train
2458,118,41,14,61,2021-03-03,False,0,train
2459,118,42,14,62,2021-03-04,False,0,train
2460,118,43,14,63,2021-03-05,False,0,train
2461,118,44,14,64,2021-03-06,False,0,train
2462,118,45,14,65,2021-03-07,False,0,train
2463,118,46,14,66,2021-03-08,False,0,train
2464,118,47,14,67,2021-03-09,False,0,train
2465,118,48,14,68,2021-03-10,False,0,train
2466,118,49,14,69,2021-03-11,False,0,train
2467,118,50,14,70,2021-03-12,False,0,train
2468,118,51,14,71,2021-03-13,False,0,train
2469,118,52,14,72,2021-03-14,False,0,train
2470,118,53,14,73,2021-03-15,False,0,train
2471,118,54,14,74,2021-03-16,False,0,train
2472,118,55,14,75,2021-03-17,False,0,train
2473,118,56,14,76,2021-03-18,False,0,train
2474,118,57,14,77,2021-03-19,False,0,train
2475,118,58,14,78,2021-03-20,False,0,train
2476,118,59,14,79,2021-03-21,False,0,train
2477,118,60,14,80,2021-03-22,False,0,train
2478,118,61,14,81,2021-03-23,False,0,train
2479,118,62,14,82,2021-03-24,False,0,train
2480,118,63,14,83,2021-03-25,False,0,train
2481,118,64,14,84,2021-03-26,False,0,train
2482,118,65,14,85,2021-03-27,False,0,train
2483,118,66,14,86,2021-03-28,False,0,train
2484,118,67,14,87,2021-03-29,False,0,train
2485,118,68,14,88,2021-03-30,False,0,train
2486,118,69,14,89,2021-03-31,False,0,train
2487,118,70,14,90,2021-04-01,False,0,train
2488,118,71,14,91,2021-04-02,False,0,train
2489,118,72,14,92,2021-04-03,False,0,train
2490,118,73,14,93,2021-04-04,False,0,train
2491,118,74,14,94,2021-04-05,False,0,train
2492,118,75,14,95,2021-04-06,False,0,train
2493,118,76,14,96,2021-04-07,False,0,train
2494,118,77,14,97,2021-04-08,False,0,train
2495,118,78,14,98,2021-04-09,False,0,train
2496,118,79,14,99,2021-04-10,False,0,train
2497,118,80,14,100,2021-04-11,False,0,train
2498,118,81,14,101,2021-04-12,False,0,train
2499,118,82,14,102,2021-04-13,False,0,train
2500,118,83,14,103,2021-04-14,False,0,train
2501,118,84,14,104,2021-04-15,False,0,train
2502,118,85,14,105,2021-04-16,False,0,train
2503,118,86,14,106,2021-04-17,False,0,train
2504,118,87,14,107,2021-04-18,False,0,train
2505,118,88,14,108,2021-04-19,False,0,train
2506,118,89,14,109,2021-04-20,False,0,train
2507,118,90,14,110,2021-04-21,False,0,train
2508,118,91,14,111,2021-04-22,False,0,train
2509,118,92,14,112,2021-04-23,False,0,train
2510,118,93,14,113,2021-04-24,False,0,train
2511,118,94,14,114,2021-04-25,False,0,train
2512,118,95,14,115,2021-04-26,False,0,train
2513,118,96,14,116,2021-04-27,False,0,train
2514,118,97,14,117,2021-04-28,False,0,train
2515,118,98,14,118,2021-04-29,False,0,train
2516,118,99,14,119,2021-04-30,False,0,train
2517,118,100,14,120,2021-05-01,False,0,train
2518,118,101,14,121,2021-05-02,False,0,train
2519,118,102,14,122,2021-05-03,False,0,train
2520,118,103,14,123,2021-05-04,False,0,train
2521,118,104,14,124,2021-05-05,False,0,train
2522,118,105,14,125,2021-05-06,False,0,train
2523,118,106,14,126,2021-05-07,False,0,train
2524,118,107,14,127,2021-05-08,False,0,train
2525,118,108,14,128,2021-05-09,False,0,train
2526,118,109,14,129,2021-05-10,False,0,train
2527,118,110,14,130,2021-05-11,False,0,train
2528,118,111,14,131,2021-05-12,False,0,train
2529,118,112,14,132,2021-05-13,False,0,train
2530,118,113,14,133,2021-05-14,False,0,train
2531,118,114,14,134,2021-05-15,False,0,train
2532,118,115,14,135,2021-05-16,False,0,train
