sample_id,cube_id,input_start_frame,input_len,target_frame,target_date,has_event,severity,split
346,119,0,14,20,2021-01-21,False,0,train
347,119,1,14,21,2021-01-22,False,0,train
348,119,2,14,22,2021-01-23,False,0,train
349,119,3,14,23,2021-01-24,False,0,train
350,119,4,14,24,2021-01-25,False,0,train
351,119,5,14,25,2021-01-26,False,0,train
352,119,6,14,26,2021-01-27,False,0,train
353,119,7,14,27,2021-01-28,False,0,train
354,119,8,14,28,2021-01-29,False,0,train
355,119,9,14,29,2021-01-30,False,0,train
356,119,10,14,30,2021-01-31,False,0,train
357,119,11,14,31,2021-02-01,False,0,train
358,119,12,14,32,2021-02-02,False,0,train
359,119,13,14,33,2021-02-03,False,0,train
360,119,14,14,34,2021-02-04,False,0,train
361,119,15,14,35,2021-02-05,False,0,train
362,119,16,14,36,2021-02-06,False,0,train
363,119,17,14,37,2021-02-07,False,0,train
364,119,18,14,38,2021-02-08,False,0,train
365,119,19,14,39,2021-02-09,False,0,train
366,119,20,14,40,2021-02-10,False,0,train
367,119,21,14,41,2021-02-11,False,0,train
368,119,22,14,42,2021-02-12,False,0,train
369,119,23,14,43,2021-02-13,False,0,train
370,119,24,14,44,2021-02-14,False,0,train
371,119,25,14,45,2021-02-15,False,0,train
372,119,26,14,46,2021-02-16,False,0,train
373,119,27,14,47,2021-02-17,False,0,train
374,119,28,14,48,2021-02-18,False,0,train
375,119,29,14,49,2021-02-19,False,0,train
376,119,30,14,50,2021-02-20,False,0,train
377,119,31,14,51,2021-02-21,False,0,train
378,119,32,14,52,2021-02-22,False,0,train
379,119,33,14,53,2021-02-23,False,0,train
380,119,34,14,54,2021-02-24,False,0,train
381,119,35,14,55,2021-02-25,False,0,train
382,119,36,14,56,2021-02-26,False,0,train
383,119,37,14,57,2021-02-27,False,0,train
384,119,38,14,58,2021-02-28,False,0,train
385,119,39,14,59,2021-03-01,False,0,train
386,119,40,14,60,2021-03-02,False,0,train
387,119,41,14,61,2021-03-03,False,0,train
388,119,42,14,62,2021-03-04,False,0,train
389,119,43,14,63,2021-03-05,False,0,train
390,119,44,14,64,2021-03-06,False,0,train
391,119,45,14,65,2021-03-07,False,0,train
392,119,46,14,66,2021-03-08,False,0,train
393,119,47,14,67,2021-03-09,False,0,train
394,119,48,14,68,2021-03-10,False,0,train
395,119,49,14,69,2021-03-11,False,0,train
396,119,50,14,70,2021-03-12,False,0,train
397,119,51,14,71,2021-03-13,False,0,train
398,119,52,14,72,2021-03-14,False,0,train
399,119,53,14,73,2021-03-15,False,0,train
400,119,54,14,74,2021-03-16,False,0,train
401,119,55,14,75,2021-03-17,False,0,train
402,119,56,14,76,2021-03-18,False,0,train
403,119,57,14,77,2021-03-19,False,0,train
404,119,58,14,78,2021-03-20,False,0,train
405,119,59,14,79,2021-03-21,False,0,train
406,119,60,14,80,2021-03-22,False,0,train
407,119,61,14,81,2021-03-23,False,0,train
408,119,62,14,82,2021-03-24,False,0,train
409,119,63,14,83,2021-03-25,False,0,train
410,119,64,14,84,2021-03-26,False,0,train
411,119,65,14,85,2021-03-27,False,0,train
412,119,66,14,86,2021-03-28,False,0,train
413,119,67,14,87,2021-03-29,False,0,train
414,119,68,14,88,2021-03-30,False,0,train
415,119,69,14,89,2021-03-31,False,0,train
416,119,70,14,90,2021-04-01,False,0,train
417,119,71,14,91,2021-04-02,False,0,train
418,119,72,14,92,2021-04-03,False,0,train
419,119,73,14,93,2021-04-04,False,0,train
420,119,74,14,94,2021-04-05,False,0,train
421,119,75,14,95,2021-04-06,False,0,train
422,119,76,14,96,2021-04-07,False,0,train
423,119,77,14,97,2021-04-08,False,0,train
424,119,78,14,98,2021-04-09,False,0,train
425,119,79,14,99,2021-04-10,False,0,train
426,119,80,14,100,2021-04-11,False,0,train
427,119,81,14,101,2021-04-12,False,0,train
428,119,82,14,102,2021-04-13,False,0,train
429,119,83,14,103,2021-04-14,False,0,train
430,119,84,14,104,2021-04-15,False,0,train
431,119,85,14,105,2021-04-16,False,0,train
432,119,86,14,106,2021-04-17,False,0,train
433,119,87,14,107,2021-04-18,False,0,train
434,119,88,14,108,2021-04-19,False,0,train
435,119,89,14,109,2021-04-20,False,0,train
436,119,90,14,110,2021-04-21,False,0,train
437,119,91,14,111,2021-04-22,False,0,train
438,119,92,14,112,2021-04-23,False,0,train
439,119,93,14,113,2021-04-24,False,0,train
440,119,94,14,114,2021-04-25,False,0,train
441,119,95,14,115,2021-04-26,False,0,train
442,119,96,14,116,2021-04-27,False,0,train
443,119,97,14,117,2021-04-28,False,0,train
444,119,98,14,118,2021-04-29,False,0,train
445,119,99,14,119,2021-04-30,False,0,train
446,119,100,14,120,2021-05-01,False,0,train
447,119,101,14,121,2021-05-02,False,0,train
448,119,102,14,122,2021-05-03,False,0,train
449,119,103,14,123,2021-05-04,False,0,train
450,119,104,14,124,2021-05-05,False,0,train
451,119,105,14,125,2021-05-06,False,0,train
452,119,106,14,126,2021-05-07,False,0,train
453,119,107,14,127,2021-05-08,False,0,train
454,119,108,14,128,2021-05-09,False,0,train
455,119,109,14,129,2021-05-10,False,0,train
456,119,110,14,130,2021-05-11,False,0,train
457,119,111,14,131,2021-05-12,False,0,train
458,119,112,14,132,2021-05-13,False,0,train
459,119,113,14,133,2021-05-14,False,0,train
460,119,114,14,134,2021-05-15,False,0,train
461,119,115,14,135,2021-05-16,False,0,train
462,119,116,14,136,2021-05-17,False,0,train
463,119,117,14,137,2021-05-18,False,0,train
